name,source,sport,area_m2,lat,lon,province,gcid
Hay River Golf Course,NRCan-CanVec-10.0,golf,816024.964658399,60.71442077033465,-115.87312938567791,Northwest Territories,NS00003
Yellowknife Golf Club,NRCan-CanVec-7.0,golf,576428.2355891648,62.47642321204976,-114.47541883436246,Northwest Territories,NS00002
Fort Simpson,,,260503.9163976039,61.858248680468996,-121.35511164480158,Northwest Territories,NS00005
End of the Road Golf Course,,golf,256833.69293106112,68.35134675750678,-133.68740496299174,Northwest Territories,NS00004
