name,opening_hours,operator,source,sport,area_m2,lat,lon,province,gcid
Mountain View Golf Club,,,NRCan-CanVec-8.0,golf,915833.9765109117,60.78069440085386,-135.08616454559169,Yukon,YN00004
Annie Lake Wilderness Golf Course,,LMCA,NRCan-CanVec-10.0,golf,532775.2666648082,60.44967574956846,-134.88250915063432,Yukon,YN00005
Top Of The World Golf Course,,,,,235199.7017588368,64.03312510272721,-139.4931586760764,Yukon,YN00006
Whitehorse,,,NRCan-CanVec-8.0,golf,208972.24823578936,60.626165863902315,-134.98179208695004,Yukon,YN00003
Upper Liard,,,,,94989.78530152835,60.04698268131835,-128.91329744776482,Yukon,YN00007
